Date,Open,High,Low,Close,Volume
28-Aug-17,319.32,319.92,319.11,319.52,461132
25-Aug-17,319.20,319.41,318.71,318.78,384057
24-Aug-17,318.71,319.18,318.27,318.51,236439
23-Aug-17,319.83,319.83,318.46,318.66,275370
22-Aug-17,319.70,320.48,319.32,320.24,210901
21-Aug-17,318.24,319.54,318.02,319.42,233213
18-Aug-17,318.74,319.32,318.00,318.20,431723
17-Aug-17,320.39,321.01,319.16,319.16,233428
16-Aug-17,320.80,321.36,320.00,320.30,287774
15-Aug-17,321.27,321.50,320.64,320.83,340050
14-Aug-17,321.02,321.16,320.05,320.88,535541
11-Aug-17,319.44,320.44,318.66,319.75,330226
10-Aug-17,318.30,319.41,318.20,319.13,449022
9-Aug-17,318.08,318.78,317.85,318.63,639971
8-Aug-17,318.40,319.29,317.90,318.18,907452
7-Aug-17,318.58,318.94,317.75,318.94,720732
4-Aug-17,320.14,320.26,317.38,318.58,733374
3-Aug-17,317.83,319.52,316.65,319.37,494419
2-Aug-17,320.01,322.53,319.49,322.53,564457
1-Aug-17,320.54,321.15,319.92,320.26,324355
31-Jul-17,-,-,-,320.60,526637
28-Jul-17,321.20,323.00,318.23,320.38,1296670
27-Jul-17,321.30,321.41,320.08,321.41,980221
26-Jul-17,322.02,322.02,320.89,321.20,318760
25-Jul-17,322.83,323.27,321.34,322.01,358445
24-Jul-17,322.05,323.19,321.85,322.11,272654
21-Jul-17,321.38,322.85,321.38,322.22,407777
20-Jul-17,321.20,321.97,320.74,321.90,607532
19-Jul-17,319.93,321.32,319.93,320.95,640651
18-Jul-17,319.40,320.48,319.17,320.09,177928
17-Jul-17,320.05,320.37,319.31,319.65,170760
14-Jul-17,318.60,320.06,318.60,320.04,218134
13-Jul-17,318.60,318.96,318.07,318.57,282179
12-Jul-17,317.86,319.51,316.76,318.83,307603
11-Jul-17,318.08,318.95,316.73,316.73,736678
10-Jul-17,318.23,318.89,317.98,318.04,395875
7-Jul-17,317.89,318.72,317.55,318.41,453573
6-Jul-17,317.30,317.69,316.80,317.05,630274
5-Jul-17,316.40,318.43,316.40,317.69,677309
3-Jul-17,316.66,317.88,316.26,316.39,269875
30-Jun-17,315.53,316.95,315.53,316.11,388522
29-Jun-17,316.72,316.72,314.71,314.89,432712
28-Jun-17,316.13,316.68,315.96,316.05,325493
27-Jun-17,315.80,316.76,315.59,316.09,596496
26-Jun-17,315.84,316.55,315.49,316.12,870559
23-Jun-17,316.41,316.48,315.51,315.98,370511
22-Jun-17,314.84,316.35,314.83,315.98,614296
21-Jun-17,315.77,316.80,314.75,315.00,980476
20-Jun-17,315.00,316.51,314.92,315.58,537474
19-Jun-17,313.94,315.53,313.87,315.19,500704
16-Jun-17,314.20,314.56,313.42,313.56,728015
15-Jun-17,314.10,314.75,313.49,313.93,1071949
14-Jun-17,314.05,315.29,314.05,314.64,518779
13-Jun-17,313.32,314.83,313.32,314.07,618618
12-Jun-17,315.18,315.18,311.66,313.48,1309441
9-Jun-17,313.94,314.86,313.58,314.25,791305
8-Jun-17,314.30,314.70,313.45,313.88,965715
7-Jun-17,313.20,314.50,313.03,314.09,527991
6-Jun-17,313.15,313.88,312.54,313.06,941476
5-Jun-17,312.90,313.88,312.63,313.26,785670
2-Jun-17,312.45,313.56,312.31,313.36,575737
1-Jun-17,309.40,313.36,309.30,313.00,936514
31-May-17,309.31,311.05,307.43,307.43,2664751
30-May-17,308.36,310.50,307.99,310.03,843080
26-May-17,308.40,308.94,307.95,308.70,451830
25-May-17,308.70,309.01,307.85,308.59,609720
24-May-17,308.32,308.84,307.86,308.44,625872
23-May-17,307.22,308.77,307.22,308.34,1015691
22-May-17,307.14,308.17,306.71,307.26,1062318
19-May-17,306.98,307.88,305.88,307.55,679397
18-May-17,305.41,307.03,305.14,306.39,657707
17-May-17,305.92,306.33,304.92,304.92,1065403
16-May-17,308.14,308.14,306.22,306.32,1339727
15-May-17,307.13,308.14,306.01,308.02,880157
12-May-17,307.40,309.16,306.97,307.71,667972
11-May-17,305.71,307.87,305.67,307.80,1063575
10-May-17,305.58,306.22,303.89,305.26,1215055
9-May-17,306.03,306.36,305.09,305.97,1361866
8-May-17,307.80,307.94,305.92,305.92,1968438
5-May-17,307.11,308.31,306.75,308.05,906423
4-May-17,306.20,307.26,305.74,306.60,1033828
3-May-17,306.29,307.46,303.32,306.59,900311
2-May-17,307.69,307.69,305.88,306.75,1712196
1-May-17,307.85,308.41,306.60,306.92,1628678
28-Apr-17,305.00,307.88,305.00,307.48,1885011
27-Apr-17,303.91,306.06,303.22,305.58,1414761
26-Apr-17,303.49,304.49,303.49,303.71,3454963
25-Apr-17,302.82,305.09,302.45,303.51,4412461
24-Apr-17,303.75,305.66,301.60,302.41,11540732
21-Apr-17,254.47,255.47,252.58,253.07,413824
20-Apr-17,253.95,255.38,252.32,254.77,452343
19-Apr-17,250.70,254.98,249.75,254.08,653276
18-Apr-17,250.35,251.15,248.79,249.57,355407
17-Apr-17,248.96,251.62,248.42,251.28,304237
13-Apr-17,249.06,249.75,248.08,248.81,286548
12-Apr-17,248.99,250.11,248.43,249.10,279170
11-Apr-17,249.48,250.40,248.22,249.99,250174
10-Apr-17,249.33,250.46,248.30,249.86,351260
7-Apr-17,248.89,250.44,248.81,249.39,333927
6-Apr-17,248.54,249.92,247.51,249.03,408844
5-Apr-17,248.35,250.10,247.82,248.89,587268
4-Apr-17,250.89,250.95,247.41,248.40,481534
3-Apr-17,249.00,251.18,247.51,250.57,421305
31-Mar-17,248.05,249.31,246.48,248.54,412951
30-Mar-17,249.32,250.50,247.81,248.54,326439
29-Mar-17,249.74,250.27,247.96,249.68,359420
28-Mar-17,250.40,250.95,248.80,250.48,687729
27-Mar-17,248.94,251.50,248.06,250.78,442197
24-Mar-17,249.14,250.65,248.96,249.91,435866
23-Mar-17,248.89,250.35,247.86,248.73,461212
22-Mar-17,249.86,251.33,248.17,249.57,628452
21-Mar-17,251.25,252.25,248.21,249.54,409540
20-Mar-17,250.92,251.51,249.64,250.68,317929
17-Mar-17,249.56,252.09,249.03,250.85,664787
16-Mar-17,249.86,251.44,247.40,249.56,397161
15-Mar-17,250.41,251.66,249.22,250.72,377349
14-Mar-17,250.64,250.64,248.35,249.20,354005
13-Mar-17,249.58,250.93,247.94,250.63,311425
10-Mar-17,249.00,250.24,247.34,249.77,394910
9-Mar-17,247.30,248.58,246.02,248.23,386861
8-Mar-17,246.12,247.20,245.31,246.63,243036
7-Mar-17,246.36,247.82,245.49,245.69,463338
6-Mar-17,244.62,247.65,244.54,247.08,798473
3-Mar-17,245.39,246.82,245.14,245.79,340408
2-Mar-17,246.84,247.39,245.19,246.42,363304
1-Mar-17,246.00,248.19,244.69,247.49,413598
28-Feb-17,244.66,245.88,243.90,245.24,444410
27-Feb-17,245.39,245.82,243.83,244.24,309773
24-Feb-17,244.24,245.43,243.72,245.18,289000
23-Feb-17,243.64,244.09,241.76,243.74,614106
22-Feb-17,242.56,245.11,241.91,243.38,409023
21-Feb-17,241.99,245.42,241.92,243.24,562231
17-Feb-17,241.66,242.68,240.15,242.41,782477
16-Feb-17,241.82,242.50,240.81,241.79,477409
15-Feb-17,239.77,242.40,239.59,242.25,419549
14-Feb-17,239.55,241.46,239.55,240.66,408060
13-Feb-17,241.19,241.19,239.75,240.59,302345
10-Feb-17,239.55,241.50,238.35,240.29,885238
9-Feb-17,237.98,240.00,237.55,239.85,742911
8-Feb-17,236.78,238.08,235.28,237.63,596809
7-Feb-17,237.71,238.00,235.23,236.65,469188
6-Feb-17,237.81,237.86,235.61,236.95,472848
3-Feb-17,238.00,239.00,236.30,237.86,420177
2-Feb-17,236.42,237.93,234.61,237.61,721446
1-Feb-17,238.17,238.64,232.11,236.30,1062350
31-Jan-17,236.82,237.70,234.83,237.33,641953
30-Jan-17,237.00,238.49,235.18,236.82,806309
27-Jan-17,233.90,240.59,228.54,238.44,1788310
26-Jan-17,230.50,230.84,226.08,226.56,1276892
25-Jan-17,231.79,232.27,229.65,230.52,1029595
24-Jan-17,231.19,231.73,229.28,231.11,499989
23-Jan-17,231.74,232.47,230.65,231.29,491108
20-Jan-17,232.27,234.43,230.57,231.46,810668
19-Jan-17,233.95,234.98,231.66,231.88,799523
18-Jan-17,236.02,237.11,233.20,234.79,498316
17-Jan-17,232.75,236.38,230.84,235.31,537711
13-Jan-17,236.34,237.71,233.78,234.17,675639
12-Jan-17,232.94,235.82,231.66,235.27,466529
11-Jan-17,232.34,236.04,229.90,234.58,750041
10-Jan-17,229.77,234.69,229.77,232.66,664593
9-Jan-17,229.88,232.00,229.20,230.15,829251
6-Jan-17,228.85,230.34,228.52,229.66,506195
5-Jan-17,229.08,231.45,228.08,229.14,615654
4-Jan-17,228.31,228.94,226.86,227.38,549491
3-Jan-17,227.71,229.00,224.31,227.47,723758
30-Dec-16,224.21,226.27,223.02,224.66,481678
29-Dec-16,222.42,224.87,222.42,224.13,369427
28-Dec-16,223.69,224.60,221.75,222.45,394265
27-Dec-16,222.84,224.80,221.97,223.52,297102
23-Dec-16,220.84,224.06,220.84,223.10,318807
22-Dec-16,218.77,221.67,218.72,220.68,431219
21-Dec-16,221.01,221.59,219.51,219.66,483317
20-Dec-16,219.45,220.81,219.18,220.47,377138
19-Dec-16,220.45,222.17,219.55,220.33,414937
16-Dec-16,221.46,222.74,220.08,221.03,757023
15-Dec-16,217.42,221.07,216.54,220.71,472232
14-Dec-16,221.26,221.94,217.17,217.92,563028
13-Dec-16,219.20,222.36,218.86,220.36,661014
12-Dec-16,216.60,220.87,216.60,219.85,574319
9-Dec-16,213.00,217.17,212.83,216.64,394186
8-Dec-16,210.70,215.10,207.37,213.61,406190
7-Dec-16,208.24,211.75,206.71,211.18,471974
6-Dec-16,211.28,211.59,207.73,208.74,368241
5-Dec-16,210.39,211.15,209.11,210.21,376023
2-Dec-16,207.94,212.43,207.37,209.96,543429
1-Dec-16,209.59,211.76,206.26,206.86,541495
30-Nov-16,215.17,215.40,210.46,210.55,605954
29-Nov-16,212.05,215.95,211.44,215.88,640119
28-Nov-16,211.42,213.28,210.52,210.96,503138
25-Nov-16,210.13,213.57,209.63,212.61,272706
23-Nov-16,208.13,210.92,208.13,210.00,713618
22-Nov-16,213.96,214.88,207.26,208.80,899199
21-Nov-16,215.96,216.35,214.38,215.20,396044
18-Nov-16,215.76,216.44,214.82,215.73,346269
17-Nov-16,213.25,216.40,212.16,216.02,371427
16-Nov-16,212.16,213.04,210.55,212.99,403930
15-Nov-16,204.52,212.70,203.77,212.20,679526
14-Nov-16,213.56,213.56,203.63,203.77,858728
11-Nov-16,220.35,220.86,212.56,213.24,648571
10-Nov-16,222.17,222.27,217.97,220.34,550645
9-Nov-16,224.92,224.92,215.63,218.95,675192
8-Nov-16,220.46,224.65,218.84,224.15,439384
7-Nov-16,220.11,221.62,218.81,220.62,314981
4-Nov-16,217.98,219.90,217.06,217.69,405060
3-Nov-16,216.23,219.53,214.40,217.13,480214
2-Nov-16,215.10,216.99,214.48,215.38,652282
1-Nov-16,216.81,217.23,213.74,214.74,434774
31-Oct-16,214.95,216.99,213.00,216.68,519982
28-Oct-16,210.26,217.44,209.46,214.71,658507
27-Oct-16,215.25,216.06,210.01,210.26,729691
26-Oct-16,219.07,220.31,213.88,214.95,772425
25-Oct-16,219.38,220.06,214.89,214.94,572198
24-Oct-16,220.38,221.10,218.50,218.92,404430
21-Oct-16,218.65,219.59,216.60,219.38,371173
20-Oct-16,220.39,221.59,219.67,220.19,252335
19-Oct-16,223.34,223.54,219.60,220.47,392412
18-Oct-16,220.53,224.90,220.53,223.42,368975
17-Oct-16,219.92,219.92,218.55,219.04,324226
14-Oct-16,219.41,220.91,219.00,219.80,451340
13-Oct-16,217.09,219.73,215.88,218.66,580877
12-Oct-16,218.00,219.31,217.28,217.82,536144
11-Oct-16,227.40,227.40,217.38,217.76,847035
10-Oct-16,223.63,227.97,223.00,227.45,515311
7-Oct-16,222.87,223.25,221.12,222.97,534503
6-Oct-16,221.09,222.63,219.58,222.25,390118
5-Oct-16,221.75,222.15,220.54,221.36,461558
4-Oct-16,223.43,224.32,220.01,221.58,460550
3-Oct-16,222.80,224.02,221.95,223.77,368993
30-Sep-16,224.59,225.04,221.95,224.28,610488
29-Sep-16,226.69,227.26,222.87,223.74,682766
28-Sep-16,228.56,228.86,226.32,227.30,459703
27-Sep-16,228.67,229.00,227.22,228.59,368420
26-Sep-16,228.78,228.78,227.01,227.89,463951
23-Sep-16,230.24,230.99,228.82,229.91,504149
22-Sep-16,228.73,232.00,227.90,231.35,435705
21-Sep-16,227.81,228.81,225.36,228.51,452687
20-Sep-16,228.13,229.86,227.80,227.96,525603
19-Sep-16,225.77,227.52,225.00,226.75,424858
16-Sep-16,226.04,227.76,225.09,226.25,749665
15-Sep-16,221.02,225.67,217.10,223.63,810271
14-Sep-16,213.34,217.36,213.34,216.91,651788
13-Sep-16,214.87,215.78,212.29,213.02,614102
12-Sep-16,212.33,215.59,212.33,215.33,373251
9-Sep-16,217.56,218.16,213.51,213.55,449356
8-Sep-16,218.90,219.39,218.41,218.78,260575
7-Sep-16,221.39,221.60,219.37,219.73,351041
6-Sep-16,221.77,222.15,220.30,222.04,271167
2-Sep-16,221.98,222.63,220.37,221.21,228413
1-Sep-16,220.91,221.72,218.22,221.50,345697
31-Aug-16,221.58,222.24,220.11,220.84,451084
30-Aug-16,220.86,221.29,220.18,221.11,350810
29-Aug-16,217.06,221.08,217.06,220.37,463879
26-Aug-16,215.48,217.40,215.38,217.07,351311
25-Aug-16,215.01,216.98,214.16,215.32,295883
24-Aug-16,217.93,218.13,214.74,215.00,383547
23-Aug-16,218.00,220.29,217.43,217.68,428632
22-Aug-16,218.00,219.10,217.35,217.97,327191
19-Aug-16,217.89,219.22,216.91,219.08,545611
18-Aug-16,217.59,219.16,217.59,218.11,327101
17-Aug-16,219.28,219.28,216.98,218.18,456554
16-Aug-16,221.33,221.56,218.76,218.78,493643
15-Aug-16,222.66,224.21,222.24,222.24,281881
12-Aug-16,222.24,223.36,220.86,222.50,308653
11-Aug-16,222.91,223.49,222.04,223.11,427085
10-Aug-16,222.44,222.90,220.76,222.61,385391
9-Aug-16,221.27,223.53,220.01,222.56,475540
8-Aug-16,222.19,222.77,220.61,221.46,328066
5-Aug-16,223.02,223.05,221.77,222.52,443827
4-Aug-16,220.22,221.73,218.95,221.42,397077
3-Aug-16,222.63,222.63,218.95,219.83,633730
2-Aug-16,224.14,225.09,220.45,222.63,502438
1-Aug-16,224.20,226.54,224.19,225.15,413685
29-Jul-16,223.86,225.00,223.07,223.73,557852
28-Jul-16,223.94,226.00,223.30,224.25,715830
27-Jul-16,229.92,229.92,221.01,223.65,1023421
26-Jul-16,229.02,231.63,228.97,231.47,490814
25-Jul-16,230.00,230.00,228.34,228.96,519027
22-Jul-16,230.75,231.18,228.34,230.00,524766
21-Jul-16,231.87,233.30,230.26,231.45,264818
20-Jul-16,233.36,234.55,232.32,232.45,361678
19-Jul-16,231.60,233.07,231.47,232.81,298477
18-Jul-16,232.78,233.70,231.06,231.89,239254
15-Jul-16,235.79,236.05,231.83,232.23,492030
14-Jul-16,235.53,236.17,234.26,234.90,411206
13-Jul-16,236.40,236.40,233.50,234.78,561908
12-Jul-16,237.63,237.87,235.31,235.57,562890
11-Jul-16,238.46,239.43,236.98,237.17,498310
8-Jul-16,237.88,239.34,236.43,239.00,505828
7-Jul-16,236.67,239.03,236.67,237.80,437440
6-Jul-16,235.82,238.45,235.63,236.84,659260
5-Jul-16,235.05,238.23,235.00,236.95,460419
1-Jul-16,235.16,236.80,234.18,234.75,545057
30-Jun-16,232.53,235.16,232.17,235.16,539211
29-Jun-16,228.78,232.77,228.78,232.35,378201
28-Jun-16,225.59,227.74,225.03,227.62,424407
27-Jun-16,223.91,227.68,223.02,225.03,568862
24-Jun-16,225.08,228.64,224.96,226.16,396954
23-Jun-16,229.48,230.76,228.88,230.69,289985
22-Jun-16,228.87,229.48,227.61,228.48,295880
21-Jun-16,228.64,229.61,226.76,228.22,323861
20-Jun-16,225.72,228.69,225.72,227.78,587301
17-Jun-16,225.30,225.44,222.66,225.04,478207
16-Jun-16,224.00,225.30,222.85,225.06,289631
15-Jun-16,227.47,227.98,223.84,224.56,358463
14-Jun-16,224.45,227.47,223.63,227.19,389993
13-Jun-16,225.64,226.77,225.07,225.34,361896
10-Jun-16,225.62,226.46,224.22,225.37,483126
9-Jun-16,225.34,228.31,222.16,226.52,473328
8-Jun-16,222.43,225.19,220.27,225.01,384617
7-Jun-16,221.91,223.02,221.27,222.65,524731
6-Jun-16,220.35,222.01,217.51,221.53,355233
3-Jun-16,220.02,221.52,219.21,220.62,353054
2-Jun-16,219.53,220.73,217.62,220.73,703622
1-Jun-16,219.04,219.86,218.28,219.13,623934
31-May-16,219.26,219.90,217.65,219.04,1166478
27-May-16,220.00,220.15,218.75,219.00,454863
26-May-16,220.00,220.85,219.52,219.58,410671
25-May-16,222.23,222.79,219.70,220.17,515038
24-May-16,220.79,222.22,219.91,221.28,391592
23-May-16,220.18,221.39,219.13,220.18,425611
20-May-16,220.14,221.09,218.60,219.74,759349
19-May-16,217.16,218.96,216.12,218.58,342990
18-May-16,217.99,222.00,217.58,218.14,483329
17-May-16,221.27,221.96,218.14,219.22,585881
16-May-16,218.54,223.02,218.36,221.91,492973
13-May-16,219.60,220.00,217.39,218.65,386902
12-May-16,219.85,220.52,217.79,219.45,363342
11-May-16,220.96,222.80,218.75,219.34,415052
10-May-16,218.28,220.98,217.82,220.96,574739
9-May-16,216.22,218.93,216.12,217.73,411233
6-May-16,215.18,216.87,213.76,216.40,320758
5-May-16,214.31,216.60,212.44,215.53,463048
4-May-16,211.39,214.38,211.34,213.88,434654
3-May-16,214.61,215.00,212.90,213.99,371990
2-May-16,213.52,214.91,212.40,214.90,422858
29-Apr-16,213.71,214.05,210.50,212.17,554213
28-Apr-16,213.74,217.49,212.07,214.22,917934
27-Apr-16,206.52,211.48,205.14,210.19,842578
26-Apr-16,207.50,208.40,205.28,205.53,832198
25-Apr-16,206.60,207.64,206.25,206.93,332839
22-Apr-16,207.53,208.84,205.83,207.23,402988
21-Apr-16,208.88,209.77,206.44,207.02,340812
20-Apr-16,209.00,209.82,207.60,209.14,293133
19-Apr-16,209.00,209.32,207.48,208.79,394055
18-Apr-16,206.53,208.78,205.60,208.70,461772
15-Apr-16,206.02,207.01,204.65,206.79,286483
14-Apr-16,206.43,207.28,205.29,206.09,398580
13-Apr-16,205.94,206.51,204.65,206.23,488176
12-Apr-16,203.19,205.33,203.19,204.85,260594
11-Apr-16,202.81,204.28,202.34,202.89,345560
8-Apr-16,203.93,204.88,202.46,203.20,296969
7-Apr-16,204.72,205.52,201.80,203.30,704541
6-Apr-16,202.75,205.83,202.75,205.42,503222
5-Apr-16,205.76,206.28,202.15,202.84,486846
4-Apr-16,204.15,207.12,204.00,207.01,584623
1-Apr-16,202.05,205.52,201.55,204.69,509138
31-Mar-16,202.99,203.68,201.00,202.67,457861
30-Mar-16,202.05,203.80,201.44,202.88,327973
29-Mar-16,199.30,202.85,198.60,202.37,408074
28-Mar-16,198.20,199.45,197.35,199.30,359541
24-Mar-16,198.03,198.65,196.37,198.20,339559
23-Mar-16,198.41,199.95,197.69,198.85,431063
22-Mar-16,196.04,198.71,195.31,197.89,397726
21-Mar-16,195.89,196.69,194.93,196.10,337245
18-Mar-16,194.08,197.38,193.33,196.81,568876
17-Mar-16,194.06,195.08,191.79,193.69,523276
16-Mar-16,194.31,195.37,192.97,194.15,508145
15-Mar-16,193.89,195.55,193.83,194.33,419167
14-Mar-16,193.73,197.50,193.55,195.45,706654
11-Mar-16,195.97,196.34,194.73,195.07,720053
10-Mar-16,195.50,197.41,194.16,195.45,532650
9-Mar-16,193.94,195.52,193.22,195.50,530676
8-Mar-16,193.34,195.08,191.96,193.99,323933
7-Mar-16,193.63,195.10,192.70,194.05,342679
4-Mar-16,192.98,194.71,191.99,194.32,315360
3-Mar-16,192.57,193.47,190.98,193.27,389011
2-Mar-16,193.58,194.88,192.48,193.02,410876
1-Mar-16,193.35,194.99,190.52,194.50,495492
29-Feb-16,195.26,196.62,192.38,192.38,707261
26-Feb-16,196.46,197.48,195.32,195.70,498447
25-Feb-16,194.07,196.68,193.44,196.57,603890
24-Feb-16,190.85,193.98,189.72,193.91,731767
23-Feb-16,189.32,192.36,189.32,191.51,628979
22-Feb-16,189.05,190.49,188.71,189.47,538557
19-Feb-16,187.47,189.60,185.72,189.11,433914
18-Feb-16,187.87,189.86,186.69,187.33,368013
17-Feb-16,188.00,188.63,186.62,188.06,528731
16-Feb-16,185.54,187.91,184.59,187.44,452178
12-Feb-16,182.09,183.91,180.43,183.70,547500
11-Feb-16,185.40,185.40,181.42,181.50,785891
10-Feb-16,183.00,188.08,181.69,186.16,826446
9-Feb-16,177.97,182.91,177.89,181.44,671072
8-Feb-16,181.76,182.14,177.47,179.65,796199
5-Feb-16,186.92,186.92,182.07,182.91,503045
4-Feb-16,184.51,187.49,182.98,187.13,584880
3-Feb-16,189.63,190.45,183.48,185.15,672267
2-Feb-16,186.96,189.72,185.80,188.89,752520
1-Feb-16,182.79,188.65,182.79,188.08,920329
29-Jan-16,182.53,188.20,180.41,183.27,1280917
28-Jan-16,183.11,183.11,176.95,178.36,879401
27-Jan-16,183.13,186.00,181.77,183.29,626986
26-Jan-16,183.01,184.53,181.49,183.16,449618
25-Jan-16,183.48,186.40,182.60,184.10,611316
22-Jan-16,180.07,183.16,180.02,183.07,519321
21-Jan-16,176.96,180.10,175.93,178.88,519716
20-Jan-16,176.69,177.97,172.72,176.92,596606
19-Jan-16,179.02,180.88,177.75,178.69,547037
15-Jan-16,173.15,177.70,172.21,176.93,664199
14-Jan-16,176.48,178.59,175.88,176.95,588833
13-Jan-16,179.58,181.24,175.80,176.10,519551
12-Jan-16,178.36,181.58,176.92,178.91,731438
11-Jan-16,180.48,181.79,176.58,177.96,476483
8-Jan-16,184.51,185.10,179.81,180.18,399241
7-Jan-16,181.97,184.81,181.97,184.17,643318
6-Jan-16,183.01,185.00,182.17,184.02,780001
5-Jan-16,184.58,185.69,183.67,184.80,651316
4-Jan-16,187.16,188.06,182.69,183.90,627093
31-Dec-15,190.08,190.99,188.88,189.44,315009
30-Dec-15,191.87,192.81,190.53,190.69,228265
29-Dec-15,190.08,191.99,189.50,191.50,422351
28-Dec-15,189.48,190.54,188.47,188.75,319332
24-Dec-15,187.79,190.50,187.79,189.87,232797
23-Dec-15,189.12,189.48,187.33,187.96,457324
22-Dec-15,188.08,188.78,185.83,188.72,300858
21-Dec-15,187.77,188.12,185.73,186.98,432260
18-Dec-15,190.50,190.50,187.25,187.31,712504
17-Dec-15,191.03,192.46,190.10,190.62,475065
16-Dec-15,188.76,192.08,188.32,191.40,430836
15-Dec-15,187.63,189.24,186.46,187.72,501240
14-Dec-15,183.00,186.44,182.67,186.36,521716
11-Dec-15,181.98,184.72,181.19,182.93,333537
10-Dec-15,185.39,186.67,183.66,184.13,512020
9-Dec-15,186.56,188.27,184.58,185.51,309027
8-Dec-15,188.30,188.57,186.57,187.83,450172
7-Dec-15,187.66,190.57,187.58,189.11,880360
4-Dec-15,183.70,187.78,183.40,187.59,478674
3-Dec-15,188.76,190.34,182.30,183.26,751104
2-Dec-15,188.89,190.12,187.94,188.51,370348
1-Dec-15,188.45,190.66,187.15,188.97,457094
30-Nov-15,187.51,188.43,186.30,186.82,503022
27-Nov-15,187.83,188.75,186.82,187.37,287066
25-Nov-15,186.26,187.67,182.51,187.40,279790
24-Nov-15,185.86,186.66,184.31,186.24,419811
23-Nov-15,187.29,188.35,185.68,187.26,378831
20-Nov-15,182.73,188.72,181.78,187.43,584750
19-Nov-15,184.85,185.13,181.01,181.96,355625
18-Nov-15,183.96,185.51,183.32,185.21,445609
17-Nov-15,184.87,185.75,182.69,183.60,309853
16-Nov-15,181.97,184.90,181.05,184.77,378885
13-Nov-15,181.88,183.95,181.03,182.31,349272
12-Nov-15,184.68,185.46,181.74,181.99,437397
11-Nov-15,186.32,189.51,183.70,183.95,477589
10-Nov-15,185.55,186.25,184.43,186.02,361580
9-Nov-15,185.89,186.10,183.87,185.20,313556
6-Nov-15,185.48,186.62,183.40,186.05,340862
5-Nov-15,186.88,188.93,184.27,185.70,583338
4-Nov-15,188.59,189.62,186.50,187.25,431217
3-Nov-15,189.61,190.22,187.31,187.81,482257
2-Nov-15,187.36,191.01,186.81,190.06,503068
30-Oct-15,187.01,188.09,186.11,186.35,485125
29-Oct-15,183.95,186.53,182.02,186.19,433854
28-Oct-15,184.06,184.51,181.31,184.16,675291
27-Oct-15,179.29,183.89,177.65,183.68,840056
26-Oct-15,179.03,180.74,177.12,179.33,729589
23-Oct-15,184.80,187.30,177.32,179.42,1420092
22-Oct-15,191.22,191.32,182.92,186.74,1226852
21-Oct-15,193.47,194.55,188.87,189.65,826583
20-Oct-15,195.21,195.47,191.82,192.37,623778
19-Oct-15,194.75,196.98,193.00,195.76,394756
16-Oct-15,194.14,196.47,192.35,195.17,332676
15-Oct-15,187.79,193.16,187.56,192.95,474609
14-Oct-15,188.43,189.80,186.73,186.97,473279
13-Oct-15,188.66,190.42,188.02,188.20,438740
12-Oct-15,186.59,189.14,186.36,189.13,556306
9-Oct-15,186.37,187.96,185.02,186.71,673680
8-Oct-15,186.56,187.43,183.66,187.02,525486
7-Oct-15,187.79,188.51,185.41,186.82,693503
6-Oct-15,187.24,190.49,183.13,187.19,592418
5-Oct-15,193.34,196.04,190.91,191.46,1071895
2-Oct-15,182.67,193.11,180.84,193.09,545929
1-Oct-15,186.55,190.39,185.78,190.22,814343
