Date,Open,High,Low,Close,Volume
5-Apr-17,66.98,67.12,66.40,66.47,7113649
4-Apr-17,67.04,67.14,66.65,66.98,5895010
3-Apr-17,67.85,68.02,66.75,67.10,8446719
31-Mar-17,67.37,68.33,67.37,67.92,8876466
30-Mar-17,67.36,67.78,67.10,67.53,5198714
29-Mar-17,67.10,67.56,66.91,67.26,7224725
28-Mar-17,67.45,67.48,66.80,67.10,8509127
27-Mar-17,67.11,67.82,66.97,67.50,5455289
24-Mar-17,67.57,67.87,67.20,67.51,6037791
23-Mar-17,67.61,67.92,67.26,67.49,6174908
22-Mar-17,67.80,68.05,67.50,67.83,5402777
21-Mar-17,68.80,69.08,67.43,67.74,8691531
20-Mar-17,68.94,69.21,68.64,68.71,6287436
17-Mar-17,68.76,69.88,68.25,69.06,18240956
16-Mar-17,68.74,68.78,68.21,68.54,6854991
15-Mar-17,67.97,68.78,67.61,68.47,8312632
14-Mar-17,67.41,68.10,67.40,67.77,6109500
13-Mar-17,68.32,68.35,67.53,68.10,8493496
10-Mar-17,68.57,68.61,67.45,68.19,14480510
9-Mar-17,69.21,69.25,67.81,68.39,13597006
8-Mar-17,69.02,70.00,68.88,69.70,7379483
7-Mar-17,69.59,69.96,68.78,69.02,9044155
6-Mar-17,70.56,70.60,69.70,70.12,7335858
3-Mar-17,70.67,70.81,70.22,70.74,6626058
2-Mar-17,70.00,70.89,70.00,70.53,8672850
1-Mar-17,70.82,70.99,70.02,70.19,9629398
28-Feb-17,70.37,70.94,70.01,70.48,8828777
27-Feb-17,69.82,70.54,69.80,70.50,6354158
24-Feb-17,69.32,70.07,69.05,69.94,7382357
23-Feb-17,68.74,69.52,68.43,69.37,7529059
22-Feb-17,69.11,69.73,68.66,68.83,10073355
21-Feb-17,70.00,70.00,68.83,69.29,11190406
17-Feb-17,70.18,70.79,69.71,69.85,11186926
16-Feb-17,70.00,70.67,69.26,70.31,10965471
15-Feb-17,67.70,69.98,67.66,69.80,16656620
14-Feb-17,68.60,68.67,67.33,67.55,14972621
13-Feb-17,66.81,67.78,66.50,67.65,15885076
10-Feb-17,65.85,66.78,65.43,66.36,16208423
9-Feb-17,66.34,66.79,65.38,65.59,23070617
8-Feb-17,67.27,67.27,65.75,66.83,51547414
7-Feb-17,72.56,73.30,72.41,73.13,13325377
6-Feb-17,72.02,72.67,71.44,72.39,7634966
3-Feb-17,72.74,72.75,71.77,72.34,8034271
2-Feb-17,72.61,72.83,71.78,72.25,8814249
1-Feb-17,72.72,72.88,72.06,72.82,7441835
31-Jan-17,71.13,72.58,70.99,72.45,10365481
30-Jan-17,71.00,71.67,70.74,71.51,7242500
27-Jan-17,71.43,72.17,71.16,71.26,6939722
26-Jan-17,71.78,71.85,71.15,71.22,8580128
25-Jan-17,70.82,72.34,70.72,71.91,14026510
24-Jan-17,70.60,70.98,69.78,70.25,10912814
23-Jan-17,70.87,71.29,70.30,70.69,9657611
20-Jan-17,71.97,72.00,70.58,71.01,10270332
19-Jan-17,71.82,72.25,71.23,71.57,9810909
18-Jan-17,72.24,72.47,71.50,72.13,9910026
17-Jan-17,72.92,72.92,71.73,71.91,11706566
13-Jan-17,73.63,73.78,73.00,73.07,8269090
12-Jan-17,73.53,73.68,72.93,73.36,7057690
11-Jan-17,75.52,75.55,73.01,73.77,14165686
10-Jan-17,76.46,76.50,74.93,75.01,8869808
9-Jan-17,75.93,76.09,75.27,75.84,10165306
6-Jan-17,76.45,76.50,75.41,75.49,8979989
5-Jan-17,76.84,76.85,75.57,76.01,9413125
4-Jan-17,74.53,76.98,74.38,76.38,14914161
3-Jan-17,72.34,74.23,72.18,74.16,10953724
30-Dec-16,72.03,72.26,71.30,71.61,9220862
29-Dec-16,72.77,72.85,71.94,72.13,7533582
28-Dec-16,73.61,73.70,72.62,72.77,6387643
27-Dec-16,73.52,74.80,73.51,73.73,6632942
23-Dec-16,73.30,73.89,73.22,73.64,5307649
22-Dec-16,73.68,73.75,72.92,73.30,8413820
21-Dec-16,74.03,74.83,73.56,73.96,7018656
20-Dec-16,74.51,74.63,73.43,74.05,8451975
19-Dec-16,73.61,75.30,73.55,74.40,8212233
16-Dec-16,74.43,74.96,73.94,74.10,14437460
15-Dec-16,75.80,75.99,74.91,75.55,9448767
14-Dec-16,74.86,76.32,74.86,75.71,11822755
13-Dec-16,73.41,75.87,73.40,74.84,12692969
12-Dec-16,72.56,73.68,72.13,73.47,9475901
9-Dec-16,72.34,73.13,71.95,72.70,9936284
8-Dec-16,72.46,72.60,70.83,72.02,12333522
7-Dec-16,71.78,72.90,71.55,72.78,13061031
6-Dec-16,72.67,72.67,71.95,72.47,8723896
5-Dec-16,72.79,72.97,71.93,72.36,9985859
2-Dec-16,73.04,73.60,72.16,72.42,9227901
1-Dec-16,73.97,74.03,72.72,72.84,8270187
30-Nov-16,75.00,75.08,73.59,73.70,10627256
29-Nov-16,74.69,75.40,74.29,74.87,7160662
28-Nov-16,75.30,75.44,74.22,74.54,9338882
25-Nov-16,75.47,75.55,74.87,75.44,3068606
23-Nov-16,73.84,75.35,73.76,75.30,6849189
22-Nov-16,75.06,75.44,74.02,74.46,6019644
21-Nov-16,74.66,75.19,74.45,74.98,6810556
18-Nov-16,75.59,75.74,74.25,74.62,8194306
17-Nov-16,75.72,76.02,74.85,75.58,9413492
16-Nov-16,76.08,76.88,75.57,76.00,8414999
15-Nov-16,77.03,77.11,75.00,76.35,8560108
14-Nov-16,77.04,77.12,76.07,76.75,8832802
11-Nov-16,77.48,77.51,75.29,76.42,12949556
10-Nov-16,79.66,80.00,76.94,77.84,16651836
9-Nov-16,76.80,80.00,76.75,78.47,26693678
8-Nov-16,73.93,74.66,73.28,74.04,7449578
7-Nov-16,73.48,74.71,73.05,74.00,9513489
4-Nov-16,71.52,73.29,71.39,72.43,11779549
3-Nov-16,72.33,72.93,71.68,71.76,9286221
2-Nov-16,74.00,74.35,72.45,72.51,14619961
1-Nov-16,73.63,74.29,73.06,74.07,10741636
31-Oct-16,74.09,74.44,73.55,73.63,8457021
28-Oct-16,74.75,74.78,73.23,73.88,13159961
27-Oct-16,75.93,76.36,75.64,75.83,9596438
26-Oct-16,74.51,75.80,74.26,75.38,8332957
25-Oct-16,74.04,74.68,73.91,74.41,6140797
24-Oct-16,74.51,74.78,73.74,74.15,7404026
21-Oct-16,74.10,74.94,73.78,74.29,8256474
20-Oct-16,73.14,74.81,73.10,74.31,10351438
19-Oct-16,73.50,73.92,73.31,73.34,6326426
18-Oct-16,73.40,73.83,72.91,73.41,6353498
17-Oct-16,72.54,73.46,72.31,72.64,8181411
14-Oct-16,73.27,73.50,72.73,72.75,7359055
13-Oct-16,72.29,73.93,72.21,73.06,10586082
12-Oct-16,74.18,74.20,72.92,73.03,10014543
11-Oct-16,75.14,75.28,73.56,73.82,11909999
10-Oct-16,75.50,75.97,75.26,75.49,7161123
7-Oct-16,76.45,76.48,74.92,75.24,11149150
6-Oct-16,77.38,77.76,76.08,76.21,10168169
5-Oct-16,77.35,78.00,77.20,77.57,7910212
4-Oct-16,77.60,78.42,77.12,77.24,8219372
3-Oct-16,78.63,78.97,77.25,78.03,10626220
30-Sep-16,78.06,79.63,78.05,79.12,11031540
29-Sep-16,79.16,79.34,77.75,77.86,7618560
28-Sep-16,79.12,79.50,78.51,78.97,6854065
27-Sep-16,79.32,79.90,78.64,79.25,13214277
26-Sep-16,81.00,81.13,79.92,80.62,9036049
23-Sep-16,81.55,82.00,81.22,81.37,7534538
22-Sep-16,81.97,82.00,80.90,81.52,8213760
21-Sep-16,82.03,82.05,80.66,81.70,13628830
20-Sep-16,79.64,82.07,79.63,81.78,17560698
19-Sep-16,78.92,79.51,78.81,78.99,7234173
16-Sep-16,78.85,79.19,78.41,78.80,10307872
15-Sep-16,77.75,79.20,77.27,78.84,10138588
14-Sep-16,77.94,78.40,77.44,77.62,8323298
13-Sep-16,78.66,78.66,77.50,78.06,9389637
12-Sep-16,77.69,79.03,77.69,78.85,8896126
9-Sep-16,78.46,79.00,78.05,78.05,10415211
8-Sep-16,78.33,79.14,77.60,78.99,8549621
7-Sep-16,78.38,78.80,77.92,78.22,8232697
6-Sep-16,77.78,78.29,77.25,77.88,11648436
2-Sep-16,77.62,77.76,76.67,76.89,7918357
1-Sep-16,78.43,78.46,76.94,77.42,12403880
31-Aug-16,77.74,78.60,77.58,78.38,9758501
30-Aug-16,78.05,78.39,77.66,77.92,9174195
29-Aug-16,79.65,79.70,77.63,78.17,15383507
26-Aug-16,80.11,80.33,79.27,79.77,8928026
25-Aug-16,80.45,81.00,79.30,80.08,9220130
24-Aug-16,81.47,82.10,80.18,80.50,9699633
23-Aug-16,81.46,81.64,81.02,81.47,8279443
22-Aug-16,80.89,81.53,80.60,80.92,7521994
19-Aug-16,80.56,81.18,80.23,81.00,8227939
18-Aug-16,80.87,81.27,80.18,80.59,8994390
17-Aug-16,79.46,80.87,79.30,80.70,10583799
16-Aug-16,79.57,79.80,79.24,79.25,7969868
15-Aug-16,79.88,80.09,79.43,79.65,7464775
12-Aug-16,79.34,79.77,78.87,79.66,8433980
11-Aug-16,79.15,79.98,78.80,79.57,8454708
10-Aug-16,79.43,79.59,78.45,78.90,12022219
9-Aug-16,79.86,79.90,79.01,79.33,9578220
8-Aug-16,80.46,80.79,79.01,79.74,9511596
5-Aug-16,80.20,80.66,79.86,80.41,10692338
4-Aug-16,80.21,80.63,79.55,79.77,9738262
3-Aug-16,79.72,80.17,79.11,80.09,10868088
2-Aug-16,80.98,81.19,79.45,79.57,13408193
1-Aug-16,79.81,81.21,79.51,80.46,14758005
29-Jul-16,80.60,80.84,79.37,79.47,19465672
28-Jul-16,81.95,81.98,80.62,81.24,13010978
27-Jul-16,81.34,81.98,81.06,81.79,14103755
26-Jul-16,84.05,84.15,80.51,81.05,47371895
25-Jul-16,86.57,88.85,86.28,88.55,15718506
22-Jul-16,87.32,87.44,86.32,86.55,7374693
21-Jul-16,87.16,87.83,86.30,87.24,9453443
20-Jul-16,85.46,87.12,85.10,86.66,9055877
19-Jul-16,86.50,86.96,85.28,85.44,9832808
18-Jul-16,86.94,87.34,86.47,86.93,6788252
15-Jul-16,85.67,87.96,85.54,86.67,11483309
14-Jul-16,86.43,86.51,85.27,85.54,8104351
13-Jul-16,86.71,87.08,85.72,85.75,8334368
12-Jul-16,86.82,87.31,86.48,86.63,7857677
11-Jul-16,86.56,87.23,86.09,86.25,7453859
8-Jul-16,85.96,86.94,85.73,86.55,7628762
7-Jul-16,85.90,86.26,84.77,85.47,6764476
6-Jul-16,83.64,85.91,83.33,85.73,9683817
5-Jul-16,84.68,85.16,83.51,83.89,7621720
1-Jul-16,83.15,85.30,82.75,84.86,8336302
30-Jun-16,82.27,83.42,81.53,83.42,9706528
29-Jun-16,83.39,83.46,81.75,82.27,10452557
28-Jun-16,79.67,82.42,79.45,82.31,14751026
27-Jun-16,79.90,80.47,77.92,78.25,11816137
24-Jun-16,81.17,82.25,80.22,80.47,12438024
23-Jun-16,83.29,83.58,82.54,83.37,5843954
22-Jun-16,81.56,83.79,81.56,82.45,10069576
21-Jun-16,83.35,83.44,81.43,81.79,8411995
20-Jun-16,83.26,84.12,82.90,82.99,6951779
17-Jun-16,83.68,84.17,82.53,82.65,15951268
16-Jun-16,82.78,83.70,82.23,83.51,6172209
15-Jun-16,84.05,84.44,82.97,83.04,7416070
14-Jun-16,83.50,84.56,82.77,83.57,7488663
13-Jun-16,84.03,84.81,83.90,83.98,8194059
10-Jun-16,84.98,85.17,84.08,84.45,8075179
9-Jun-16,86.92,87.25,85.65,85.77,8083739
8-Jun-16,87.52,88.09,86.82,87.42,7331613
7-Jun-16,87.54,88.24,86.90,87.50,7923780
6-Jun-16,86.17,87.87,86.10,87.60,8596714
3-Jun-16,86.85,86.98,85.55,86.15,7443788
2-Jun-16,86.69,87.07,85.86,86.72,7281063
1-Jun-16,87.23,87.30,86.31,86.58,7451798
31-May-16,86.40,87.23,86.05,87.06,12517839
27-May-16,85.82,86.02,85.20,85.82,6122890
26-May-16,86.44,86.50,85.05,85.29,7983540
25-May-16,86.80,87.00,85.70,86.51,11621385
24-May-16,83.78,86.44,83.71,86.22,13139610
23-May-16,83.02,84.03,82.25,83.33,7755440
20-May-16,82.17,83.08,82.07,82.64,7927516
19-May-16,82.31,82.59,81.28,82.14,9243876
18-May-16,82.74,83.44,82.33,82.88,7475103
17-May-16,83.50,83.74,82.45,82.76,8364388
16-May-16,82.70,83.83,82.50,83.61,6490416
13-May-16,82.66,83.87,82.41,82.70,8303061
12-May-16,84.10,84.30,81.70,82.76,12057183
11-May-16,86.39,86.40,83.81,83.90,8387159
10-May-16,86.41,86.48,84.89,86.18,6824648
9-May-16,84.99,86.46,84.70,85.67,8451565
6-May-16,85.67,85.84,84.04,84.68,9249866
5-May-16,86.35,86.40,85.20,85.86,8018635
4-May-16,86.66,86.99,85.41,85.60,12058238
3-May-16,88.67,89.12,87.00,87.17,9751508
2-May-16,88.70,89.45,86.75,89.00,13472066
29-Apr-16,91.19,92.53,87.80,88.21,33471416
28-Apr-16,100.41,100.75,96.80,97.00,15043474
27-Apr-16,101.30,101.78,100.15,100.72,8560962
26-Apr-16,102.02,103.10,101.01,101.33,9298982
25-Apr-16,101.84,102.38,101.50,102.29,8278253
22-Apr-16,101.56,102.45,100.50,101.93,10227016
21-Apr-16,99.90,101.84,99.90,101.74,8981491
20-Apr-16,99.35,100.96,99.35,100.11,8856476
19-Apr-16,99.76,100.73,99.24,99.44,9780079
18-Apr-16,98.17,99.73,98.11,99.20,8059457
15-Apr-16,98.53,98.98,97.62,98.29,8899790
14-Apr-16,97.01,98.77,96.90,98.19,8737235
13-Apr-16,97.84,97.97,96.65,97.19,9293787
12-Apr-16,96.00,97.40,95.50,97.24,9186222
11-Apr-16,96.41,97.05,95.74,95.83,8733374
8-Apr-16,96.21,97.45,95.58,96.09,9656805
7-Apr-16,97.21,97.63,95.09,95.57,13214449
6-Apr-16,95.49,97.50,95.48,97.44,10990222
5-Apr-16,93.55,96.69,93.50,95.57,11804735
4-Apr-16,94.35,95.00,93.75,94.24,8779152
1-Apr-16,91.34,94.38,91.04,94.12,11393749
31-Mar-16,91.90,92.75,91.54,91.86,13634995
30-Mar-16,92.47,93.57,91.56,91.97,8108360
29-Mar-16,92.19,92.24,90.61,92.20,8608288
28-Mar-16,92.07,94.31,91.94,92.46,9590369
24-Mar-16,89.61,92.82,89.44,91.32,14335403
23-Mar-16,90.96,92.22,89.97,90.08,13693611
22-Mar-16,92.14,93.96,92.05,93.72,9636622
21-Mar-16,90.00,93.01,90.00,92.67,9756436
18-Mar-16,90.02,90.73,89.54,90.27,16794188
17-Mar-16,89.79,90.37,88.81,89.53,10526466
16-Mar-16,88.96,90.88,88.91,90.28,8794809
15-Mar-16,89.92,90.07,89.03,89.44,10265118
14-Mar-16,90.00,91.21,89.34,90.46,10984129
11-Mar-16,89.97,89.98,88.80,89.65,10517433
10-Mar-16,88.30,89.90,87.82,88.64,10880682
9-Mar-16,88.94,89.25,87.43,87.83,10388814
8-Mar-16,89.65,90.40,88.35,88.66,10970679
7-Mar-16,87.11,90.04,86.88,89.65,13100610
4-Mar-16,88.30,89.10,86.85,87.21,21168265
3-Mar-16,89.13,89.31,87.48,87.83,12366400
2-Mar-16,89.60,89.68,87.96,88.80,10522687
1-Mar-16,87.90,89.72,87.30,89.69,11698465
29-Feb-16,87.87,89.14,87.25,87.25,12571556
26-Feb-16,90.61,90.92,87.89,88.10,13246459
25-Feb-16,90.00,90.49,89.55,90.16,9129100
24-Feb-16,87.41,89.54,86.79,89.36,8300107
23-Feb-16,89.10,89.40,87.90,88.35,8338139
22-Feb-16,88.35,89.50,88.05,89.10,9699840
19-Feb-16,88.20,88.98,87.12,87.44,12870825
18-Feb-16,89.60,90.95,88.93,88.99,11312502
17-Feb-16,91.09,91.50,88.66,89.36,22648432
16-Feb-16,90.72,91.28,89.89,91.15,12101509
12-Feb-16,88.66,89.88,86.68,89.44,11248406
11-Feb-16,86.50,88.45,86.01,87.36,12950962
10-Feb-16,88.69,89.85,87.54,87.80,13450170
9-Feb-16,84.20,88.48,84.10,87.25,14154322
8-Feb-16,84.19,86.65,83.86,85.26,18990026
5-Feb-16,86.68,88.02,84.45,85.14,15584508
4-Feb-16,86.02,87.45,85.61,86.68,14494802
3-Feb-16,84.91,86.99,83.87,86.39,24471579
2-Feb-16,84.18,84.22,81.89,82.70,16504629
1-Feb-16,82.32,84.52,82.28,84.05,17845071
29-Jan-16,84.28,85.30,82.33,83.00,36738490
28-Jan-16,90.00,90.22,86.86,87.53,14115852
27-Jan-16,91.84,92.10,89.00,89.63,12421543
26-Jan-16,90.72,92.83,90.25,92.21,6860432
25-Jan-16,91.53,93.54,90.43,90.61,10103621
22-Jan-16,90.40,92.07,89.71,91.83,9116923
21-Jan-16,90.37,90.60,88.71,88.87,12121181
20-Jan-16,88.00,91.83,86.28,90.55,19654598
19-Jan-16,93.14,93.22,88.85,89.90,14243329
15-Jan-16,90.37,92.78,89.68,91.84,17585342
14-Jan-16,92.72,94.88,90.79,93.02,15699821
13-Jan-16,97.25,98.03,92.12,92.54,11930022
12-Jan-16,96.90,98.49,95.21,97.10,9830086
11-Jan-16,97.22,97.22,94.29,96.50,12322488
8-Jan-16,96.90,97.99,96.41,96.45,11976034
7-Jan-16,98.06,99.00,96.03,96.25,12944608
6-Jan-16,97.57,100.68,97.52,100.30,12540672
5-Jan-16,99.69,99.85,98.70,99.26,9260812
4-Jan-16,99.77,100.00,97.01,98.01,14737167
31-Dec-15,102.36,102.42,101.17,101.19,6245176
30-Dec-15,102.84,103.05,102.03,102.16,4876271
29-Dec-15,102.25,103.55,101.57,103.36,7647283
28-Dec-15,103.00,103.31,101.50,101.68,5270907
24-Dec-15,103.35,103.90,103.15,103.58,2657160
23-Dec-15,103.59,103.59,102.69,103.14,7279937
22-Dec-15,102.99,103.54,102.49,102.86,7151171
21-Dec-15,102.21,103.26,101.63,102.63,8306474
18-Dec-15,101.68,101.99,100.92,101.60,15768517
17-Dec-15,104.25,104.79,102.33,102.36,7614392
16-Dec-15,103.18,103.49,101.64,103.34,10950294
15-Dec-15,101.74,103.00,101.44,101.97,11740330
14-Dec-15,99.97,100.93,98.66,100.49,10251316
11-Dec-15,101.35,102.46,99.67,100.03,9518903
10-Dec-15,102.45,103.06,101.56,102.62,7653265
9-Dec-15,103.25,104.33,101.50,101.95,7534864
8-Dec-15,102.07,104.07,101.73,103.53,6675558
7-Dec-15,104.11,104.15,102.25,102.91,5956098
4-Dec-15,101.44,104.16,101.25,104.07,8738290
3-Dec-15,104.32,104.59,100.50,101.38,13772369
2-Dec-15,105.00,105.57,104.30,104.44,8836282
1-Dec-15,106.35,107.38,104.65,105.85,10639798
30-Nov-15,108.21,108.31,105.69,105.96,9556017
27-Nov-15,108.14,108.63,107.62,108.00,2749185
25-Nov-15,106.57,108.07,106.31,107.78,5720514
24-Nov-15,105.75,106.80,105.50,106.57,6422049
23-Nov-15,106.70,107.65,105.93,106.36,5474570
20-Nov-15,107.34,107.97,106.42,106.54,7104196
19-Nov-15,108.00,108.05,106.21,106.51,7012430
18-Nov-15,104.49,108.22,104.45,108.13,8143505
17-Nov-15,104.45,104.89,103.50,104.53,6830801
16-Nov-15,102.90,104.00,101.64,103.81,7256943
13-Nov-15,104.09,104.18,102.12,102.57,10699087
12-Nov-15,106.94,107.10,104.16,104.23,7892557
11-Nov-15,108.91,109.23,107.03,107.19,6039252
10-Nov-15,108.10,109.37,107.94,108.85,8522923
9-Nov-15,108.00,108.53,107.08,108.11,8133246
6-Nov-15,107.00,108.34,106.36,108.34,8553301
5-Nov-15,107.70,108.39,106.05,107.83,10158999
4-Nov-15,109.60,109.73,107.30,108.98,7989023
3-Nov-15,109.40,109.54,108.32,109.10,7446234
2-Nov-15,108.76,109.95,108.32,109.60,8266497
30-Oct-15,109.52,109.86,108.08,108.13,8496263
29-Oct-15,108.18,110.77,107.69,109.21,10734610
28-Oct-15,109.00,109.21,105.94,108.13,17767600
27-Oct-15,109.39,111.11,108.69,110.96,15236711
